0,300
0.02,395.448
0.04,489.95
0.06,582.59
0.08,672.504
0.1,758.909
0.12,841.117
0.14,918.557
0.16,990.78
0.18,1057.47
0.2,1118.43
0.22,1173.6
0.24,1223.02
0.26,1266.83
0.28,1305.28
0.3,1338.65
0.32,1367.29
0.34,1391.56
0.36,1411.86
0.38,1428.56
0.4,1442.01
0.42,1452.54
0.44,1460.42
0.46,1465.89
0.48,1469.1
0.5,1470.16
0.52,1469.1
0.54,1465.89
0.56,1460.42
0.58,1452.54
0.6,1442.01
0.62,1428.56
0.64,1411.86
0.66,1391.56
0.68,1367.29
0.7,1338.65
0.72,1305.28
0.74,1266.83
0.76,1223.02
0.78,1173.6
0.8,1118.43
0.82,1057.47
0.84,990.78
0.86,918.557
0.88,841.117
0.9,758.909
0.92,672.504
0.94,582.59
0.96,489.95
0.98,395.448
1,300
