0,300
0.02,313.318
0.04,326.583
0.06,339.744
0.08,352.748
0.1,365.543
0.12,378.08
0.14,390.309
0.16,402.181
0.18,413.65
0.2,424.67
0.22,435.199
0.24,445.194
0.26,454.616
0.28,463.427
0.3,471.594
0.32,479.084
0.34,485.866
0.36,491.915
0.38,497.207
0.4,501.721
0.42,505.438
0.44,508.345
0.46,510.429
0.48,511.683
0.5,512.102
0.52,511.683
0.54,510.429
0.56,508.345
0.58,505.438
0.6,501.721
0.62,497.207
0.64,491.915
0.66,485.866
0.68,479.084
0.7,471.594
0.72,463.427
0.74,454.616
0.76,445.194
0.78,435.199
0.8,424.67
0.82,413.65
0.84,402.181
0.86,390.309
0.88,378.08
0.9,365.543
0.92,352.748
0.94,339.744
0.96,326.583
0.98,313.318
1,300
