0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
0.025,100,99.9982,99.9964,99.9947,99.993,99.9914,99.9898,99.9883,99.9869,99.9856,99.9844,99.9833,99.9823,99.9815,99.9807,99.9801,99.9796,99.9793,99.9791,99.979,99.9791,99.9793,99.9796,99.9801,99.9807,99.9814,99.9822,99.9832,99.9842,99.9853,99.9866,99.9879,99.9892,99.9907,99.9922,99.9937,99.9952,99.9968,99.9984,100,
0.05,100,99.9964,99.9929,99.9895,99.9861,99.9829,99.9798,99.9768,99.974,99.9714,99.969,99.9668,99.9649,99.9631,99.9617,99.9605,99.9595,99.9588,99.9584,99.9583,99.9584,99.9588,99.9595,99.9604,99.9616,99.963,99.9647,99.9665,99.9686,99.9709,99.9733,99.9759,99.9786,99.9815,99.9844,99.9875,99.9905,99.9937,99.9968,100,
0.075,100,99.9947,99.9895,99.9844,99.9794,99.9745,99.9699,99.9655,99.9614,99.9575,99.9539,99.9507,99.9478,99.9452,99.943,99.9412,99.9398,99.9388,99.9382,99.938,99.9382,99.9388,99.9398,99.9412,99.9429,99.945,99.9475,99.9502,99.9533,99.9567,99.9603,99.9641,99.9682,99.9724,99.9768,99.9813,99.9859,99.9906,99.9953,100,
0.1,100,99.993,99.9861,99.9794,99.9728,99.9664,99.9603,99.9545,99.949,99.9439,99.9392,99.9349,99.9311,99.9277,99.9248,99.9225,99.9206,99.9193,99.9185,99.9182,99.9185,99.9193,99.9206,99.9224,99.9247,99.9275,99.9307,99.9344,99.9384,99.9429,99.9476,99.9527,99.9581,99.9637,99.9694,99.9754,99.9815,99.9876,99.9938,100,
0.125,100,99.9914,99.9829,99.9745,99.9664,99.9586,99.951,99.9439,99.9371,99.9308,99.925,99.9197,99.915,99.9108,99.9073,99.9043,99.9021,99.9004,99.8994,99.8991,99.8994,99.9004,99.902,99.9043,99.9071,99.9105,99.9145,99.919,99.924,99.9295,99.9354,99.9417,99.9483,99.9552,99.9623,99.9696,99.9771,99.9847,99.9924,100,
0.15,100,99.9898,99.9798,99.9699,99.9603,99.951,99.9421,99.9337,99.9257,99.9182,99.9114,99.9051,99.8995,99.8946,99.8904,99.887,99.8842,99.8823,99.8811,99.8808,99.8811,99.8823,99.8842,99.8868,99.8902,99.8943,99.899,99.9043,99.9102,99.9167,99.9236,99.931,99.9389,99.947,99.9554,99.9641,99.973,99.9819,99.991,100,
0.175,100,99.9883,99.9768,99.9655,99.9545,99.9439,99.9337,99.924,99.9148,99.9063,99.8984,99.8912,99.8848,99.8792,99.8744,99.8704,99.8673,99.8651,99.8637,99.8633,99.8637,99.8651,99.8673,99.8703,99.8741,99.8788,99.8842,99.8903,99.8971,99.9045,99.9125,99.921,99.9299,99.9392,99.9489,99.9589,99.969,99.9793,99.9897,100,
0.2,100,99.9869,99.974,99.9614,99.949,99.9371,99.9257,99.9148,99.9046,99.895,99.8862,99.8781,99.871,99.8646,99.8593,99.8548,99.8513,99.8488,99.8473,99.8468,99.8473,99.8488,99.8513,99.8547,99.859,99.8642,99.8702,99.8771,99.8847,99.893,99.9019,99.9114,99.9215,99.9319,99.9428,99.9539,99.9653,99.9768,99.9884,100,
