0,300
0.02,335.752
0.04,371.362
0.06,406.69
0.08,441.596
0.1,475.941
0.12,509.591
0.14,542.411
0.16,574.272
0.18,605.049
0.2,634.619
0.22,662.867
0.24,689.681
0.26,714.956
0.28,738.591
0.3,760.494
0.32,780.58
0.34,798.768
0.36,814.988
0.38,829.177
0.4,841.278
0.42,851.243
0.44,859.035
0.46,864.623
0.48,867.984
0.5,869.106
0.52,867.984
0.54,864.623
0.56,859.035
0.58,851.243
0.6,841.278
0.62,829.177
0.64,814.988
0.66,798.768
0.68,780.58
0.7,760.494
0.72,738.591
0.74,714.956
0.76,689.681
0.78,662.867
0.8,634.619
0.82,605.049
0.84,574.272
0.86,542.411
0.88,509.591
0.9,475.941
0.92,441.596
0.94,406.69
0.96,371.362
0.98,335.752
1,300
