0,300
0.02,306.046
0.04,312.068
0.06,318.043
0.08,323.946
0.1,329.755
0.12,335.447
0.14,340.998
0.16,346.388
0.18,351.595
0.2,356.598
0.22,361.378
0.24,365.915
0.26,370.193
0.28,374.193
0.3,377.901
0.32,381.301
0.34,384.38
0.36,387.126
0.38,389.529
0.4,391.578
0.42,393.265
0.44,394.585
0.46,395.531
0.48,396.1
0.5,396.29
0.52,396.1
0.54,395.531
0.56,394.585
0.58,393.265
0.6,391.578
0.62,389.529
0.64,387.126
0.66,384.38
0.68,381.301
0.7,377.901
0.72,374.193
0.74,370.193
0.76,365.915
0.78,361.378
0.8,356.598
0.82,351.595
0.84,346.388
0.86,340.998
0.88,335.447
0.9,329.755
0.92,323.946
0.94,318.043
0.96,312.068
0.98,306.046
1,300
