0.1,0.1,42.7386
0.2,0.1,42.903
0.3,0.1,43.1854
0.4,0.1,43.5848
0.5,0.1,44.1
0.6,0.1,44.7289
0.7,0.1,45.4689
0.8,0.1,46.3166
0.9,0.1,47.268
1,0.1,48.3179
1.1,0.1,49.4603
1.2,0.1,50.6881
1.3,0.1,51.9926
1.4,0.1,53.3642
1.5,0.1,54.7915
1.6,0.1,56.2615
1.7,0.1,57.7596
1.8,0.1,59.2696
1.9,0.1,60.7736
2,0.1,62.2519
2.1,0.1,63.6838
2.2,0.1,65.0474
2.3,0.1,66.3201
2.4,0.1,67.4795
2.5,0.1,68.5035
2.6,0.1,69.3715
2.7,0.1,70.065
2.8,0.1,70.5685
2.9,0.1,70.8701
3,0.1,70.9622
3.1,0.1,70.8416
3.2,0.1,70.51
3.3,0.1,69.9738
3.4,0.1,69.2434
3.5,0.1,68.3329
3.6,0.1,67.2593
3.7,0.1,66.0417
3.8,0.1,64.7006
3.9,0.1,63.2568
4,0.1,61.7311
4.1,0.1,60.1438
4.2,0.1,58.5137
4.3,0.1,56.8585
4.4,0.1,55.1941
4.5,0.1,53.5349
4.6,0.1,51.8932
4.7,0.1,50.2799
4.8,0.1,48.704
4.9,0.1,47.1731
5,0.1,45.6931
5.1,0.1,44.269
5.2,0.1,42.9043
5.3,0.1,41.6016
5.4,0.1,40.3625
5.5,0.1,39.1878
5.6,0.1,38.0777
5.7,0.1,37.0317
5.8,0.1,36.0489
5.9,0.1,35.1281
6,0.1,34.2674
6.1,0.1,33.4649
6.2,0.1,32.7185
6.3,0.1,32.0258
6.4,0.1,31.3845
6.5,0.1,30.7919
6.6,0.1,30.2456
6.7,0.1,29.743
6.8,0.1,29.2815
6.9,0.1,28.8586
7,0.1,28.4719
7.1,0.1,28.1189
7.2,0.1,27.7973
7.3,0.1,27.5049
7.4,0.1,27.2395
7.5,0.1,26.9991
7.6,0.1,26.7817
7.7,0.1,26.5855
7.8,0.1,26.4088
7.9,0.1,26.2499
8,0.1,26.1074
8.1,0.1,25.9797
8.2,0.1,25.8655
8.3,0.1,25.7637
8.4,0.1,25.673
8.5,0.1,25.5925
8.6,0.1,25.5212
8.7,0.1,25.4582
8.8,0.1,25.4028
8.9,0.1,25.3541
9,0.1,25.3116
9.1,0.1,25.2746
9.2,0.1,25.2428
9.3,0.1,25.2155
9.4,0.1,25.1925
9.5,0.1,25.1733
9.6,0.1,25.1577
9.7,0.1,25.1455
9.8,0.1,25.1365
9.9,0.1,25.1306
10,0.1,25.1277

0.1,0.2,42.8043
0.2,0.2,42.9693
0.3,0.2,43.253
0.4,0.2,43.6544
0.5,0.2,44.1724
0.6,0.2,44.8048
0.7,0.2,45.5491
0.8,0.2,46.4021
0.9,0.2,47.3597
1,0.2,48.417
1.1,0.2,49.5679
